# Hbar,Kbar,Lbar
-2.648553604240679871e-01,1.844056029164738431e-01,-2.390351591918497665e+00
2.890921976094916815e-02,8.950123552840516528e-02,-3.073644061862369714e+00
6.164383801309836208e-01,-1.003074992477320654e-01,-4.440229001750114257e+00
3.082191900654918104e-01,-5.015374962386603269e-02,-2.220114500875057129e+00
2.890921976094916815e-02,8.950123552840516528e-02,-3.073644061862369714e+00
4.336382964142380947e-02,1.342518532926078034e-01,-4.610466092793554793e+00
-5.297107208481359741e-01,3.688112058329476861e-01,-4.780703183836995329e+00
-2.648553604240679871e-01,1.844056029164738431e-01,-2.390351591918497665e+00
