# Hbar,Kbar,Lbar
-2.609807056000319481e-01,1.824682755044557958e-01,-2.399714047097781133e+00
3.388081924001617312e-02,8.701543578887169228e-02,-3.072526091902080037e+00
6.236038689201123253e-01,-1.038902436422965286e-01,-4.418150181510676511e+00
3.118019344600561626e-01,-5.194512182114826432e-02,-2.209075090755338255e+00
3.388081924001617312e-02,8.701543578887169228e-02,-3.072526091902080037e+00
5.082122886002420070e-02,1.305231536833075245e-01,-4.608789137853119833e+00
-5.219614112000638961e-01,3.649365510089115916e-01,-4.799428094195562267e+00
-2.609807056000319481e-01,1.824682755044557958e-01,-2.399714047097781133e+00
