# Hbar,Kbar,Lbar
-2.215226227340816312e-01,1.627392340714806096e-01,-2.485496960901789176e+00
8.334636178824043895e-02,6.228266451475952120e-02,-3.051684600092368971e+00
6.930843308328845653e-01,-1.386304745986826070e-01,-4.184059878473529004e+00
3.465421654164422827e-01,-6.931523729934130351e-02,-2.092029939236764502e+00
8.334636178824043895e-02,6.228266451475952120e-02,-3.051684600092368971e+00
1.250195426823606237e-01,9.342399677213930609e-02,-4.577526900138553678e+00
-4.430452454681632624e-01,3.254784681429612192e-01,-4.970993921803578353e+00
-2.215226227340816312e-01,1.627392340714806096e-01,-2.485496960901789176e+00
