# Hbar,Kbar,Lbar
-2.436857235232978980e-01,1.738207844660887846e-01,-2.439415383053980868e+00
5.581793158673897109e-02,7.604687961551030717e-02,-3.065469628392885060e+00
6.548252418068125635e-01,-1.195009300856466200e-01,-4.317578119070692999e+00
3.274126209034062818e-01,-5.975046504282331000e-02,-2.158789059535346500e+00
5.581793158673897109e-02,7.604687961551030717e-02,-3.065469628392885060e+00
8.372689738010839766e-02,1.140703194232654677e-01,-4.598204442589327812e+00
-4.873714470465957960e-01,3.476415689321775693e-01,-4.878830766107961736e+00
-2.436857235232978980e-01,1.738207844660887846e-01,-2.439415383053980868e+00
