# Hbar,Kbar,Lbar
-2.765970706545604063e-01,1.902764580317199972e-01,-2.360898451580109914e+00
1.371176696955111150e-02,9.709996192410416671e-02,-3.075962496191001261e+00
5.943294422177740621e-01,-8.925303029112739706e-02,-4.506090585412785288e+00
2.971647211088870311e-01,-4.462651514556369853e-02,-2.253045292706392644e+00
1.371176696955111150e-02,9.709996192410416671e-02,-3.075962496191001261e+00
2.056765045432661088e-02,1.456499428861562917e-01,-4.613943744286502557e+00
-5.531941413091208126e-01,3.805529160634399943e-01,-4.721796903160219827e+00
-2.765970706545604063e-01,1.902764580317199972e-01,-2.360898451580109914e+00
