# Hbar,Kbar,Lbar
-2.400568419488115501e-01,1.720063436788455413e-01,-2.447322458541338008e+00
6.036934429185152745e-02,7.377117326295391797e-02,-3.063570474531686294e+00
6.612217167731776479e-01,-1.226991675688292038e-01,-4.296066506512383754e+00
3.306108583865888240e-01,-6.134958378441460192e-02,-2.148033253256191877e+00
6.036934429185152745e-02,7.377117326295391797e-02,-3.063570474531686294e+00
9.055401643777725995e-02,1.106567598944309394e-01,-4.595355711797529885e+00
-4.801136838976231003e-01,3.440126873576910826e-01,-4.894644917082676017e+00
-2.400568419488115501e-01,1.720063436788455413e-01,-2.447322458541338008e+00
