# Hbar,Kbar,Lbar
-2.694246816802545741e-01,1.866902635445671088e-01,-2.379084770436372231e+00
2.301880928128101703e-02,9.244644076823925471e-02,-3.074739112747731262e+00
6.079057912043520640e-01,-9.604120478441637021e-02,-4.466047797370450212e+00
3.039528956021760320e-01,-4.802060239220818511e-02,-2.233023898685225106e+00
2.301880928128101703e-02,9.244644076823925471e-02,-3.074739112747731262e+00
3.452821392192149952e-02,1.386696611523589306e-01,-4.612108669121597337e+00
-5.388493633605091482e-01,3.733805270891342176e-01,-4.758169540872744463e+00
-2.694246816802545741e-01,1.866902635445671088e-01,-2.379084770436372231e+00
