# Hbar,Kbar,Lbar
-2.184299751951566948e-01,1.611929103020181830e-01,-2.491514452661171664e+00
8.713746385889480084e-02,6.038711347943238189e-02,-3.049352792027663295e+00
6.982723419669978338e-01,-1.412244801657391857e-01,-4.165029470760646113e+00
3.491361709834989169e-01,-7.061224008286959286e-02,-2.082514735380323057e+00
8.713746385889480084e-02,6.038711347943238189e-02,-3.049352792027663295e+00
1.307061957883422221e-01,9.058067021914857631e-02,-4.574029188041494720e+00
-4.368599503903133896e-01,3.223858206040363661e-01,-4.983028905322343327e+00
-2.184299751951566948e-01,1.611929103020181830e-01,-2.491514452661171664e+00
