# Hbar,Kbar,Lbar
-2.299340560523522592e-01,1.669449507306159652e-01,-2.468624935233628470e+00
7.297374193433918410e-02,6.746897444171018332e-02,-3.057526659644010270e+00
6.787893379077221123e-01,-1.314829781361012973e-01,-4.235330108464774312e+00
3.393946689538610562e-01,-6.574148906805064863e-02,-2.117665054232387156e+00
7.297374193433918410e-02,6.746897444171018332e-02,-3.057526659644010270e+00
1.094606129015088108e-01,1.012034616625653027e-01,-4.586289989466015626e+00
-4.598681121047045184e-01,3.338899014612319305e-01,-4.937249870467256940e+00
-2.299340560523522592e-01,1.669449507306159652e-01,-2.468624935233628470e+00
