# Hbar,Kbar,Lbar
-2.128638897523673357e-01,1.584098675806235035e-01,-2.502096173515016453e+00
9.393038220024367557e-02,5.699065430875797228e-02,-3.044910323543123187e+00
7.075189261054655177e-01,-1.458477722349730832e-01,-4.130538623599337100e+00
3.537594630527327588e-01,-7.292388611748654159e-02,-2.065269311799668550e+00
9.393038220024367557e-02,5.699065430875797228e-02,-3.044910323543123187e+00
1.408955733003654787e-01,8.548598146313696189e-02,-4.567365485314685003e+00
-4.257277795047346713e-01,3.168197351612470070e-01,-5.004192347030032906e+00
-2.128638897523673357e-01,1.584098675806235035e-01,-2.502096173515016453e+00
