# Hbar,Kbar,Lbar
-2.563233357247567956e-01,1.801395905668182196e-01,-2.410738283373014657e+00
3.982879732216092900e-02,8.404144674779930047e-02,-3.070955270559455830e+00
6.321330634159963990e-01,-1.081548408902385516e-01,-4.391389244932338620e+00
3.160665317079981995e-01,-5.407742044511927582e-02,-2.195694622466169310e+00
3.982879732216092900e-02,8.404144674779930047e-02,-3.070955270559455830e+00
5.974319598324139002e-02,1.260621701216989576e-01,-4.606432905839183967e+00
-5.126466714495135912e-01,3.602791811336364391e-01,-4.821476566746029313e+00
-2.563233357247567956e-01,1.801395905668182196e-01,-2.410738283373014657e+00
