# Hbar,Kbar,Lbar
-2.209361185951136397e-01,1.624459820019966694e-01,-2.486645770619725582e+00
8.406625189454473845e-02,6.192271946160742696e-02,-3.051249926258315703e+00
6.940709928738614254e-01,-1.391238056191710371e-01,-4.180458237535495947e+00
3.470354964369307127e-01,-6.956190280958551853e-02,-2.090229118767747973e+00
8.406625189454473845e-02,6.192271946160742696e-02,-3.051249926258315703e+00
1.260993778418170452e-01,9.288407919241116473e-02,-4.576874889387473999e+00
-4.418722371902272794e-01,3.248919640039933387e-01,-4.973291541239451163e+00
-2.209361185951136397e-01,1.624459820019966694e-01,-2.486645770619725582e+00
