# Hbar,Kbar,Lbar
-2.771937325689967091e-01,1.905747889889381486e-01,-2.359357615908425299e+00
1.293412619619842795e-02,9.748878231078055012e-02,-3.076036634191225971e+00
5.931898437265885615e-01,-8.868323104553460512e-02,-4.509394670756827317e+00
2.965949218632942808e-01,-4.434161552276730256e-02,-2.254697335378413658e+00
1.293412619619842795e-02,9.748878231078055012e-02,-3.076036634191225971e+00
1.940118929429761330e-02,1.462331734661708182e-01,-4.614054951286838957e+00
-5.543874651379934182e-01,3.811495779778762971e-01,-4.718715231816850597e+00
-2.771937325689967091e-01,1.905747889889381486e-01,-2.359357615908425299e+00
