# Hbar,Kbar,Lbar
-2.568505667368606860e-01,1.804032060728701092e-01,-2.409502778169118287e+00
3.915698320954635187e-02,8.437735380410654740e-02,-3.071145434834008814e+00
6.311720831023603928e-01,-1.076743507334205069e-01,-4.394430748163788536e+00
3.155860415511801964e-01,-5.383717536671025344e-02,-2.197215374081894268e+00
3.915698320954635187e-02,8.437735380410654740e-02,-3.071145434834008814e+00
5.873547481431949657e-02,1.265660307061598489e-01,-4.606718152251012555e+00
-5.137011334737213719e-01,3.608064121457402185e-01,-4.819005556338236573e+00
-2.568505667368606860e-01,1.804032060728701092e-01,-2.409502778169118287e+00
