# Hbar,Kbar,Lbar
-2.125594841543265168e-01,1.582576647816030802e-01,-2.502665732081108096e+00
9.430076920753392711e-02,5.680546080511283263e-02,-3.044658318901945826e+00
7.080212759312547455e-01,-1.460989471478676416e-01,-4.128643492543621285e+00
3.540106379656273727e-01,-7.304947357393382079e-02,-2.064321746271810643e+00
9.430076920753392711e-02,5.680546080511283263e-02,-3.044658318901945826e+00
1.414511538113008282e-01,8.520819120766924548e-02,-4.566987478352919183e+00
-4.251189683086530335e-01,3.165153295632061603e-01,-5.005331464162216193e+00
-2.125594841543265168e-01,1.582576647816030802e-01,-2.502665732081108096e+00
