# Hbar,Kbar,Lbar
-2.711038849702280817e-01,1.875298651895538626e-01,-2.374882213623021876e+00
2.084656096886082846e-02,9.353256492444934900e-02,-3.075080161717182126e+00
6.047474528470385691e-01,-9.446203560575966440e-02,-4.475476057905503069e+00
3.023737264235192845e-01,-4.723101780287983220e-02,-2.237738028952751534e+00
2.084656096886082846e-02,9.353256492444934900e-02,-3.075080161717182126e+00
3.126984145329124443e-02,1.402988473866740304e-01,-4.612620242575772522e+00
-5.422077699404561635e-01,3.750597303791077253e-01,-4.749764427246043752e+00
-2.711038849702280817e-01,1.875298651895538626e-01,-2.374882213623021876e+00
