# Hbar,Kbar,Lbar
-2.827677862729827685e-01,1.933618158409311782e-01,-2.344752679763488779e+00
5.643759785579785179e-03,1.011339655160898715e-01,-3.076521183270656934e+00
5.824668519027048630e-01,-8.332173513359271422e-02,-4.540058190284992357e+00
2.912334259513524315e-01,-4.166086756679635711e-02,-2.270029095142496178e+00
5.643759785579785179e-03,1.011339655160898715e-01,-3.076521183270656934e+00
8.465639678369649146e-03,1.517009482741348003e-01,-4.614781774905985401e+00
-5.655355725459655369e-01,3.867236316818623565e-01,-4.689505359526977557e+00
-2.827677862729827685e-01,1.933618158409311782e-01,-2.344752679763488779e+00
