# Hbar,Kbar,Lbar
-2.546463842697211932e-01,1.793011148393004184e-01,-2.414646975725716960e+00
4.196305936443660983e-02,8.297431572666143229e-02,-3.070329599032877610e+00
6.351819466327521813e-01,-1.096792824986164289e-01,-4.381694845647198910e+00
3.175909733163760906e-01,-5.483964124930821443e-02,-2.190847422823599455e+00
4.196305936443660983e-02,8.297431572666143229e-02,-3.070329599032877610e+00
6.294458904665493904e-02,1.244614735899921970e-01,-4.605494398549316415e+00
-5.092927685394423865e-01,3.586022296786008368e-01,-4.829293951451433919e+00
-2.546463842697211932e-01,1.793011148393004184e-01,-2.414646975725716960e+00
