# Hbar,Kbar,Lbar
-2.496080002716724588e-01,1.767819228402760512e-01,-2.426199249883329578e+00
4.835214357550331882e-02,7.977977362112810555e-02,-3.068260512442958721e+00
6.442724312698547839e-01,-1.142245248171677302e-01,-4.352383037562216117e+00
3.221362156349273920e-01,-5.711226240858386510e-02,-2.176191518781108059e+00
4.835214357550331882e-02,7.977977362112810555e-02,-3.068260512442958721e+00
7.252821536325491925e-02,1.196696604316921930e-01,-4.602390768664438525e+00
-4.992160005433449177e-01,3.535638456805521024e-01,-4.852398499766659157e+00
-2.496080002716724588e-01,1.767819228402760512e-01,-2.426199249883329578e+00
