# Hbar,Kbar,Lbar
-2.412548098628563564e-01,1.726053276358679722e-01,-2.444728109226826263e+00
5.886876940820606058e-02,7.452146070477676243e-02,-3.064213187662310212e+00
6.591159279503308044e-01,-1.216462731574056294e-01,-4.303183344533277221e+00
3.295579639751654022e-01,-6.082313657870281470e-02,-2.151591672266638611e+00
5.886876940820606058e-02,7.452146070477676243e-02,-3.064213187662310212e+00
8.830315411230903189e-02,1.117821910571651645e-01,-4.596319781493464873e+00
-4.825096197257127129e-01,3.452106552717359444e-01,-4.889456218453652525e+00
-2.412548098628563564e-01,1.726053276358679722e-01,-2.444728109226826263e+00
