# Hbar,Kbar,Lbar
-2.594379088684185541e-01,1.816968771386490988e-01,-2.403393532169019409e+00
3.585450098652991774e-02,8.602859491561483385e-02,-3.072033046375693743e+00
6.264393206964267158e-01,-1.053079695304536545e-01,-4.409312074789043301e+00
3.132196603482133579e-01,-5.265398476522682725e-02,-2.204656037394521650e+00
3.585450098652991774e-02,8.602859491561483385e-02,-3.072033046375693743e+00
5.378175147979484538e-02,1.290428923734222577e-01,-4.608049569563540615e+00
-5.188758177368371083e-01,3.633937542772981977e-01,-4.806787064338038817e+00
-2.594379088684185541e-01,1.816968771386490988e-01,-2.403393532169019409e+00
