# Hbar,Kbar,Lbar
-2.899459812934448433e-01,1.969509133511621879e-01,-2.325376336258635046e+00
-3.813833855579104939e-03,1.058627623366692611e-01,-3.076583094255543216e+00
5.684504610201522867e-01,-7.631353969231657874e-02,-4.578996610249360444e+00
2.842252305100761434e-01,-3.815676984615828937e-02,-2.289498305124680222e+00
-3.813833855579104939e-03,1.058627623366692611e-01,-3.076583094255543216e+00
-5.720750783368712920e-03,1.587941435050038985e-01,-4.614874641383315712e+00
-5.798919625868896865e-01,3.939018267023243758e-01,-4.650752672517270092e+00
-2.899459812934448433e-01,1.969509133511621879e-01,-2.325376336258635046e+00
