# Hbar,Kbar,Lbar
-2.837621398459446720e-01,1.938589926274121578e-01,-2.342107046967151440e+00
4.338334325769290997e-03,1.017866782459950631e-01,-3.076567798558464517e+00
5.805392826691972985e-01,-8.235795051683902912e-02,-4.545489301741088894e+00
2.902696413345986493e-01,-4.117897525841951456e-02,-2.272744650870544447e+00
4.338334325769290997e-03,1.017866782459950631e-01,-3.076567798558464517e+00
6.507501488653964251e-03,1.526800173689926432e-01,-4.614851697837696776e+00
-5.675242796918893440e-01,3.877179852548243155e-01,-4.684214093934302880e+00
-2.837621398459446720e-01,1.938589926274121578e-01,-2.342107046967151440e+00
