# Hbar,Kbar,Lbar
-2.166710966883922673e-01,1.603134710486359693e-01,-2.494892658349202819e+00
8.928820538827840492e-02,5.931174271474055210e-02,-3.047982990301397965e+00
7.012068095416197355e-01,-1.426917139530502199e-01,-4.154163654205789591e+00
3.506034047708098678e-01,-7.134585697652510994e-02,-2.077081827102894795e+00
8.928820538827840492e-02,5.931174271474055210e-02,-3.047982990301397965e+00
1.339323080824176004e-01,8.896761407211084549e-02,-4.571974485452097170e+00
-4.333421933767845347e-01,3.206269420972719386e-01,-4.989785316698405637e+00
-2.166710966883922673e-01,1.603134710486359693e-01,-2.494892658349202819e+00
