# Hbar,Kbar,Lbar
-2.663969785274466484e-01,1.851764119681631460e-01,-2.386577811204294797e+00
2.692522935627088623e-02,9.049323073074432011e-02,-3.074040684995704265e+00
6.135696451237059312e-01,-9.887313174409330385e-02,-4.448966432578524532e+00
3.067848225618529656e-01,-4.943656587204665193e-02,-2.224483216289262266e+00
2.692522935627088623e-02,9.049323073074432011e-02,-3.074040684995704265e+00
4.038784403440630333e-02,1.357398460961165010e-01,-4.611061027493557063e+00
-5.327939570548932968e-01,3.703528239363262919e-01,-4.773155622408589593e+00
-2.663969785274466484e-01,1.851764119681631460e-01,-2.386577811204294797e+00
