# Hbar,Kbar,Lbar
-2.847338672296602091e-01,1.943448563192700096e-01,-2.339509736739117329e+00
3.061168021417473226e-03,1.024252613981710552e-01,-3.076601604957962977e+00
5.786512385235728084e-01,-8.141392844402678408e-02,-4.550785341395653383e+00
2.893256192617864042e-01,-4.070696422201339204e-02,-2.275392670697826691e+00
3.061168021417473226e-03,1.024252613981710552e-01,-3.076601604957962977e+00
4.591752032126182083e-03,1.536378920972566176e-01,-4.614902407436944465e+00
-5.694677344593204182e-01,3.886897126385400192e-01,-4.679019473478234659e+00
-2.847338672296602091e-01,1.943448563192700096e-01,-2.339509736739117329e+00
