# Hbar,Kbar,Lbar
-2.709783721099631171e-01,1.874671087594213803e-01,-2.375197496473767877e+00
2.100906795925454665e-02,9.345131142925253154e-02,-3.075055817880365083e+00
6.049839480976897388e-01,-9.458028323108517987e-02,-4.474772460693558607e+00
3.024919740488448694e-01,-4.729014161554258994e-02,-2.237386230346779303e+00
2.100906795925454665e-02,9.345131142925253154e-02,-3.075055817880365083e+00
3.151360193888173844e-02,1.401769671438787834e-01,-4.612583726820547625e+00
-5.419567442199262342e-01,3.749342175188427606e-01,-4.750394992947535755e+00
-2.709783721099631171e-01,1.874671087594213803e-01,-2.375197496473767877e+00
