# Hbar,Kbar,Lbar
-2.051028940497740261e-01,1.545293697293268487e-01,-2.516324047656302909e+00
1.033379155596911708e-01,5.228688762903419690e-02,-3.038195176260215735e+00
7.202195347786215507e-01,-1.521980765715510719e-01,-4.081937433468041831e+00
3.601097673893107753e-01,-7.609903828577553597e-02,-2.040968716734020916e+00
1.033379155596911708e-01,5.228688762903419690e-02,-3.038195176260215735e+00
1.550068733395366938e-01,7.843033144355131270e-02,-4.557292764390323825e+00
-4.102057880995480521e-01,3.090587394586536973e-01,-5.032648095312605818e+00
-2.051028940497740261e-01,1.545293697293268487e-01,-2.516324047656302909e+00
