# Hbar,Kbar,Lbar
-2.792243640107915370e-01,1.915901047098355903e-01,-2.354081160049677823e+00
1.028361112814501176e-02,9.881403984480728597e-02,-3.076256805617865631e+00
5.892995614060179133e-01,-8.673808988524929486e-02,-4.520608096754242133e+00
2.946497807030089566e-01,-4.336904494262464743e-02,-2.260304048377121067e+00
1.028361112814501176e-02,9.881403984480728597e-02,-3.076256805617865631e+00
1.542541669221740575e-02,1.482210597672109498e-01,-4.614385208426798890e+00
-5.584487280215830740e-01,3.831802094196711805e-01,-4.708162320099355647e+00
-2.792243640107915370e-01,1.915901047098355903e-01,-2.354081160049677823e+00
