# Hbar,Kbar,Lbar
-2.156973807057926684e-01,1.598266130573361421e-01,-2.496749140321170124e+00
9.047719052869128420e-02,5.871725014453409858e-02,-3.047211122706621200e+00
7.028263329976591756e-01,-1.435014756810699954e-01,-4.148135087477523797e+00
3.514131664988295878e-01,-7.175073784053499770e-02,-2.074067543738761898e+00
9.047719052869128420e-02,5.871725014453409858e-02,-3.047211122706621200e+00
1.357157857930369749e-01,8.807587521680114440e-02,-4.570816684059932022e+00
-4.313947614115853368e-01,3.196532261146722842e-01,-4.993498280642340248e+00
-2.156973807057926684e-01,1.598266130573361421e-01,-2.496749140321170124e+00
