# Hbar,Kbar,Lbar
-2.108144930871805045e-01,1.573851692480301157e-01,-2.505912496173158921e+00
9.642178048299192283e-02,5.574495516738384865e-02,-3.043195708634980789e+00
7.108943276233365971e-01,-1.475354729939086229e-01,-4.117762133558623638e+00
3.554471638116682985e-01,-7.376773649695431145e-02,-2.058881066779311819e+00
9.642178048299192283e-02,5.574495516738384865e-02,-3.043195708634980789e+00
1.446326707244878496e-01,8.361743275107580420e-02,-4.564793562952470296e+00
-4.216289861743610090e-01,3.147703384960602313e-01,-5.011824992346317842e+00
-2.108144930871805045e-01,1.573851692480301157e-01,-2.505912496173158921e+00
