# Hbar,Kbar,Lbar
-2.347872993061293490e-01,1.693715723575045518e-01,-2.458549249784873325e+00
6.694745522413529659e-02,7.048211779681215483e-02,-3.060560309709639437e+00
6.704169642846644628e-01,-1.272967913245726113e-01,-4.264582429559171217e+00
3.352084821423322314e-01,-6.364839566228630563e-02,-2.132291214779585609e+00
6.694745522413529659e-02,7.048211779681215483e-02,-3.060560309709639437e+00
1.004211828362029241e-01,1.057231766952182322e-01,-4.590840464564458934e+00
-4.695745986122586979e-01,3.387431447150091035e-01,-4.917098499569746650e+00
-2.347872993061293490e-01,1.693715723575045518e-01,-2.458549249784873325e+00
