# Hbar,Kbar,Lbar
-2.026268830667321275e-01,1.532913642378058716e-01,-2.520735643572812990e+00
1.063237035583462914e-01,5.079399362970659498e-02,-3.035926658249852750e+00
7.242248768085031152e-01,-1.542007475864918820e-01,-4.066308687603932270e+00
3.621124384042515576e-01,-7.710037379324594098e-02,-2.033154343801966135e+00
1.063237035583462914e-01,5.079399362970659498e-02,-3.035926658249852750e+00
1.594855553375194857e-01,7.619099044455993064e-02,-4.553889987374779125e+00
-4.052537661334642549e-01,3.065827284756117432e-01,-5.041471287145625979e+00
-2.026268830667321275e-01,1.532913642378058716e-01,-2.520735643572812990e+00
