# Hbar,Kbar,Lbar
-2.109151359538578574e-01,1.574354906813687505e-01,-2.505726079309931187e+00
9.629955290326101813e-02,5.580606895724927324e-02,-3.043280897115876460e+00
7.107289306174987553e-01,-1.474527744909896187e-01,-4.118390532727765674e+00
3.553644653087493777e-01,-7.372638724549480937e-02,-2.059195266363882837e+00
9.629955290326101813e-02,5.580606895724927324e-02,-3.043280897115876460e+00
1.444493293548914925e-01,8.370910343587394109e-02,-4.564921345673814912e+00
-4.218302719077157148e-01,3.148709813627375009e-01,-5.011452158619862374e+00
-2.109151359538578574e-01,1.574354906813687505e-01,-2.505726079309931187e+00
