# Hbar,Kbar,Lbar
-2.778579097398040099e-01,1.909068775743417712e-01,-2.357637333486880760e+00
1.206787169977118455e-02,9.792190955899415794e-02,-3.076114123372781783e+00
5.919194345789213774e-01,-8.804802647170105467e-02,-4.513067703144584719e+00
2.959597172894606887e-01,-4.402401323585052734e-02,-2.256533851572292360e+00
1.206787169977118455e-02,9.792190955899415794e-02,-3.076114123372781783e+00
1.810180754965672045e-02,1.468828643384912647e-01,-4.614171185059173119e+00
-5.557158194796080197e-01,3.818137551486835424e-01,-4.715274666973761519e+00
-2.778579097398040099e-01,1.909068775743417712e-01,-2.357637333486880760e+00
