# Hbar,Kbar,Lbar
-2.682314743247803390e-01,1.860936598668299635e-01,-2.382050679523301184e+00
2.455988904198029912e-02,9.167590088788961367e-02,-3.074476651150062967e+00
6.101426157755014401e-01,-9.715961706999111380e-02,-4.459328594403586088e+00
3.050713078877507201e-01,-4.857980853499555690e-02,-2.229664297201793044e+00
2.455988904198029912e-02,9.167590088788961367e-02,-3.074476651150062967e+00
3.683983356297042266e-02,1.375138513318344136e-01,-4.611714976725094672e+00
-5.364629486495606780e-01,3.721873197336599270e-01,-4.764101359046602369e+00
-2.682314743247803390e-01,1.860936598668299635e-01,-2.382050679523301184e+00
