# Hbar,Kbar,Lbar
-2.699915656519668028e-01,1.869737055304232787e-01,-2.377669774194926422e+00
2.228593396090954373e-02,9.281287842842504687e-02,-3.074857956111691326e+00
6.068409331866622125e-01,-9.550877577557133347e-02,-4.469234319945220690e+00
3.034204665933311063e-01,-4.775438788778566673e-02,-2.234617159972610345e+00
2.228593396090954373e-02,9.281287842842504687e-02,-3.074857956111691326e+00
3.342890094136423407e-02,1.392193176426376189e-01,-4.612286934167537211e+00
-5.399831313039336056e-01,3.739474110608465574e-01,-4.755339548389852844e+00
-2.699915656519668028e-01,1.869737055304232787e-01,-2.377669774194926422e+00
