# Hbar,Kbar,Lbar
-2.368433233999516774e-01,1.703995844044156882e-01,-2.454204617588507276e+00
6.438521431995407329e-02,7.176323824890275260e-02,-3.061770138158144583e+00
6.668422897597655608e-01,-1.255094540621231325e-01,-4.276901179297418309e+00
3.334211448798827804e-01,-6.275472703106156624e-02,-2.138450589648709155e+00
6.438521431995407329e-02,7.176323824890275260e-02,-3.061770138158144583e+00
9.657782147993108912e-02,1.076448573733541358e-01,-4.592655207237216430e+00
-4.736866467999033548e-01,3.407991688088313764e-01,-4.908409235177014551e+00
-2.368433233999516774e-01,1.703995844044156882e-01,-2.454204617588507276e+00
