# Hbar,Kbar,Lbar
-2.914766879391397780e-01,1.977162666740096830e-01,-2.321160318925302946e+00
-5.840845781643741810e-03,1.068762682997016350e-01,-3.076513086154979426e+00
5.654308385333481901e-01,-7.480372844891441941e-02,-4.587218620614331499e+00
2.827154192666740951e-01,-3.740186422445720971e-02,-2.293609310307165750e+00
-5.840845781643741810e-03,1.068762682997016350e-01,-3.076513086154979426e+00
-8.761268672465639604e-03,1.603144024495524733e-01,-4.614769629232469583e+00
-5.829533758782795561e-01,3.954325333480193660e-01,-4.642320637850605891e+00
-2.914766879391397780e-01,1.977162666740096830e-01,-2.321160318925302946e+00
