# Hbar,Kbar,Lbar
-2.161939481549638997e-01,1.600748967819217716e-01,-2.495803604694204481e+00
8.987099006869668505e-02,5.902035037453141203e-02,-3.047605957283327172e+00
7.020008665160178962e-01,-1.430887424402493280e-01,-4.151210662461573442e+00
3.510004332580089481e-01,-7.154437122012466399e-02,-2.075605331230786721e+00
8.987099006869668505e-02,5.902035037453141203e-02,-3.047605957283327172e+00
1.348064851030450761e-01,8.853052556179710764e-02,-4.571408935924990757e+00
-4.323878963099277994e-01,3.201497935638435433e-01,-4.991607209388408961e+00
-2.161939481549638997e-01,1.600748967819217716e-01,-2.495803604694204481e+00
