# Hbar,Kbar,Lbar
-2.438771993627023016e-01,1.739165223857910003e-01,-2.438994157970961751e+00
5.557729062413423876e-02,7.616720009681270109e-02,-3.065565867174631975e+00
6.544862705978071737e-01,-1.193314444811438835e-01,-4.318709285581970647e+00
3.272431352989035869e-01,-5.966572224057194174e-02,-2.159354642790985324e+00
5.557729062413423876e-02,7.616720009681270109e-02,-3.065565867174631975e+00
8.336593593620127141e-02,1.142508001452190586e-01,-4.598348800761947075e+00
-4.877543987254046032e-01,3.478330447715820006e-01,-4.877988315941923503e+00
-2.438771993627023016e-01,1.739165223857910003e-01,-2.438994157970961751e+00
