# Intensity Error [-0.333H,0.167H,0] DeltaE
#  shape: 20x70
4.128371e-01 1.003597e-01 7.500000e-02 3.550000e+00
5.954030e-01 1.004987e-01 7.500000e-02 3.650000e+00
1.115552e+00 1.375302e-01 7.500000e-02 3.750000e+00
6.544568e-01 1.135521e-01 7.500000e-02 3.850000e+00
2.331848e-01 8.107240e-02 7.500000e-02 3.950000e+00
3.657175e-01 7.461909e-02 7.500000e-02 4.050000e+00
2.003186e-01 6.098371e-02 7.500000e-02 4.150000e+00
1.287840e-01 6.045887e-02 7.500000e-02 4.250000e+00
1.978075e-01 5.405409e-02 7.500000e-02 4.350000e+00
1.985714e-01 6.058577e-02 7.500000e-02 4.450000e+00
1.213361e-01 5.876511e-02 7.500000e-02 4.550000e+00
1.300050e-01 5.138550e-02 7.500000e-02 4.650000e+00
1.672329e-01 7.826082e-02 7.500000e-02 4.750000e+00
1.662003e-01 8.777410e-02 7.500000e-02 4.850000e+00
4.642438e-01 2.321226e-01 7.500000e-02 4.950000e+00
nan nan 7.500000e-02 5.050000e+00
nan nan 7.500000e-02 5.150000e+00
nan nan 7.500000e-02 5.250000e+00
nan nan 7.500000e-02 5.350000e+00
nan nan 7.500000e-02 5.450000e+00
nan nan 7.500000e-02 5.550000e+00
nan nan 7.500000e-02 5.650000e+00
nan nan 7.500000e-02 5.750000e+00
nan nan 7.500000e-02 5.850000e+00
nan nan 7.500000e-02 5.950000e+00
nan nan 7.500000e-02 6.050000e+00
nan nan 7.500000e-02 6.150000e+00
nan nan 7.500000e-02 6.250000e+00
nan nan 7.500000e-02 6.350000e+00
nan nan 7.500000e-02 6.450000e+00
nan nan 7.500000e-02 6.550000e+00
nan nan 7.500000e-02 6.650000e+00
nan nan 7.500000e-02 6.750000e+00
nan nan 7.500000e-02 6.850000e+00
nan nan 7.500000e-02 6.950000e+00
3.944133e+01 1.076253e+00 1.250000e-01 5.000000e-02
8.375754e+00 4.935467e-01 1.250000e-01 1.500000e-01
2.047039e+00 2.464349e-01 1.250000e-01 2.500000e-01
5.539601e-01 1.270873e-01 1.250000e-01 3.500000e-01
4.213802e-01 1.126189e-01 1.250000e-01 4.500000e-01
3.730027e-01 1.111096e-01 1.250000e-01 5.500000e-01
3.600544e-01 1.039390e-01 1.250000e-01 6.500000e-01
1.126320e-01 5.631609e-02 1.250000e-01 7.500000e-01
1.487530e-01 7.877093e-02 1.250000e-01 8.500000e-01
1.401615e-01 6.268227e-02 1.250000e-01 9.500000e-01
1.476326e-01 6.602355e-02 1.250000e-01 1.050000e+00
1.405602e-01 6.286068e-02 1.250000e-01 1.150000e+00
5.795922e-02 7.080709e-02 1.250000e-01 1.250000e+00
2.522664e-01 8.408900e-02 1.250000e-01 1.350000e+00
3.118630e-01 9.403039e-02 1.250000e-01 1.450000e+00
4.462288e-01 1.115575e-01 1.250000e-01 1.550000e+00
4.743470e-01 1.278518e-01 1.250000e-01 1.650000e+00
6.891395e-01 1.432415e-01 1.250000e-01 1.750000e+00
7.395228e-01 1.525164e-01 1.250000e-01 1.850000e+00
8.235917e-01 1.503670e-01 1.250000e-01 1.950000e+00
1.100483e+00 1.718671e-01 1.250000e-01 2.050000e+00
5.677975e-01 1.297149e-01 1.250000e-01 2.150000e+00
2.626708e-01 9.102456e-02 1.250000e-01 2.250000e+00
3.157216e-01 9.114139e-02 1.250000e-01 2.350000e+00
1.029276e-01 7.289126e-02 1.250000e-01 2.450000e+00
1.299746e-01 5.812666e-02 1.250000e-01 2.550000e+00
3.885002e-01 1.127997e-01 1.250000e-01 2.650000e+00
2.316384e-01 1.122460e-01 1.250000e-01 2.750000e+00
2.839407e-01 1.240968e-01 1.250000e-01 2.850000e+00
4.056942e-01 1.342335e-01 1.250000e-01 2.950000e+00
6.781213e-01 1.370042e-01 1.250000e-01 3.050000e+00
4.491534e-01 1.004342e-01 1.250000e-01 3.150000e+00
6.144073e-01 1.158399e-01 1.250000e-01 3.250000e+00
7.063234e-01 1.281026e-01 1.250000e-01 3.350000e+00
7.107933e-01 1.205049e-01 1.250000e-01 3.450000e+00
3.220699e-01 1.001001e-01 1.250000e-01 3.550000e+00
7.573533e-01 1.237228e-01 1.250000e-01 3.650000e+00
7.384517e-01 1.191518e-01 1.250000e-01 3.750000e+00
5.849277e-01 9.915198e-02 1.250000e-01 3.850000e+00
2.754498e-01 7.795405e-02 1.250000e-01 3.950000e+00
1.784366e-01 5.692969e-02 1.250000e-01 4.050000e+00
1.805956e-01 6.380528e-02 1.250000e-01 4.150000e+00
1.496301e-01 5.908643e-02 1.250000e-01 4.250000e+00
2.374917e-01 6.108998e-02 1.250000e-01 4.350000e+00
2.330493e-01 6.793226e-02 1.250000e-01 4.450000e+00
1.601175e-01 5.960286e-02 1.250000e-01 4.550000e+00
9.528770e-02 5.955893e-02 1.250000e-01 4.650000e+00
1.639334e-01 7.693406e-02 1.250000e-01 4.750000e+00
6.436374e-02 9.016200e-02 1.250000e-01 4.850000e+00
4.040435e-01 2.020230e-01 1.250000e-01 4.950000e+00
0.000000e+00 0.000000e+00 1.250000e-01 5.050000e+00
nan nan 1.250000e-01 5.150000e+00
nan nan 1.250000e-01 5.250000e+00
nan nan 1.250000e-01 5.350000e+00
nan nan 1.250000e-01 5.450000e+00
nan nan 1.250000e-01 5.550000e+00
nan nan 1.250000e-01 5.650000e+00
nan nan 1.250000e-01 5.750000e+00
nan nan 1.250000e-01 5.850000e+00
nan nan 1.250000e-01 5.950000e+00
nan nan 1.250000e-01 6.050000e+00
nan nan 1.250000e-01 6.150000e+00
nan nan 1.250000e-01 6.250000e+00
nan nan 1.250000e-01 6.350000e+00
nan nan 1.250000e-01 6.450000e+00
nan nan 1.250000e-01 6.550000e+00
nan nan 1.250000e-01 6.650000e+00
nan nan 1.250000e-01 6.750000e+00
nan nan 1.250000e-01 6.850000e+00
nan nan 1.250000e-01 6.950000e+00
3.515762e+01 1.007801e+00 1.750000e-01 5.000000e-02
8.928776e+00 5.172309e-01 1.750000e-01 1.500000e-01
1.420489e+00 2.029273e-01 1.750000e-01 2.500000e-01
5.383779e-01 1.268971e-01 1.750000e-01 3.500000e-01
4.065560e-01 1.086569e-01 1.750000e-01 4.500000e-01
5.382735e-01 1.268724e-01 1.750000e-01 5.500000e-01
2.352904e-01 9.308086e-02 1.750000e-01 6.500000e-01
8.846488e-02 7.778904e-02 1.750000e-01 7.500000e-01
1.474516e-01 6.594252e-02 1.750000e-01 8.500000e-01
2.867006e-02 4.993968e-02 1.750000e-01 9.500000e-01
2.356099e-01 8.330095e-02 1.750000e-01 1.050000e+00
2.285702e-01 8.081196e-02 1.750000e-01 1.150000e+00
5.856782e-02 7.165213e-02 1.750000e-01 1.250000e+00
8.460193e-02 6.312677e-02 1.750000e-01 1.350000e+00
1.433432e-01 6.410517e-02 1.750000e-01 1.450000e+00
2.227358e-01 9.647635e-02 1.750000e-01 1.550000e+00
2.548049e-01 9.391949e-02 1.750000e-01 1.650000e+00
4.674147e-01 1.133650e-01 1.750000e-01 1.750000e+00
3.909841e-01 1.044951e-01 1.750000e-01 1.850000e+00
8.692321e-01 1.536604e-01 1.750000e-01 1.950000e+00
7.894822e-01 1.516163e-01 1.750000e-01 2.050000e+00
7.512305e-01 1.419696e-01 1.750000e-01 2.150000e+00
4.255886e-01 1.129254e-01 1.750000e-01 2.250000e+00
4.202022e-01 1.113777e-01 1.750000e-01 2.350000e+00
1.820759e-01 7.803946e-02 1.750000e-01 2.450000e+00
3.139797e-01 9.796885e-02 1.750000e-01 2.550000e+00
1.536459e-01 1.026727e-01 1.750000e-01 2.650000e+00
2.851476e-01 1.346142e-01 1.750000e-01 2.750000e+00
2.302995e-01 1.228568e-01 1.750000e-01 2.850000e+00
3.232273e-01 1.025379e-01 1.750000e-01 2.950000e+00
4.399872e-01 1.009403e-01 1.750000e-01 3.050000e+00
6.971875e-01 1.213654e-01 1.750000e-01 3.150000e+00
6.458644e-01 1.190697e-01 1.750000e-01 3.250000e+00
5.649755e-01 1.167172e-01 1.750000e-01 3.350000e+00
3.834795e-01 1.045584e-01 1.750000e-01 3.450000e+00
6.419380e-01 1.144893e-01 1.750000e-01 3.550000e+00
6.324931e-01 1.202120e-01 1.750000e-01 3.650000e+00
8.667346e-01 1.178677e-01 1.750000e-01 3.750000e+00
4.419305e-01 9.548437e-02 1.750000e-01 3.850000e+00
2.501401e-01 7.625641e-02 1.750000e-01 3.950000e+00
2.830539e-01 7.506097e-02 1.750000e-01 4.050000e+00
1.605168e-01 6.290865e-02 1.750000e-01 4.150000e+00
1.014811e-01 6.417961e-02 1.750000e-01 4.250000e+00
3.154148e-01 6.517526e-02 1.750000e-01 4.350000e+00
1.715779e-01 4.984850e-02 1.750000e-01 4.450000e+00
1.983301e-01 6.329302e-02 1.750000e-01 4.550000e+00
6.304520e-02 5.448672e-02 1.750000e-01 4.650000e+00
1.813562e-01 7.770696e-02 1.750000e-01 4.750000e+00
9.158575e-02 1.008547e-01 1.750000e-01 4.850000e+00
8.695446e-02 8.695446e-02 1.750000e-01 4.950000e+00
0.000000e+00 0.000000e+00 1.750000e-01 5.050000e+00
nan nan 1.750000e-01 5.150000e+00
nan nan 1.750000e-01 5.250000e+00
nan nan 1.750000e-01 5.350000e+00
nan nan 1.750000e-01 5.450000e+00
nan nan 1.750000e-01 5.550000e+00
nan nan 1.750000e-01 5.650000e+00
nan nan 1.750000e-01 5.750000e+00
nan nan 1.750000e-01 5.850000e+00
nan nan 1.750000e-01 5.950000e+00
nan nan 1.750000e-01 6.050000e+00
nan nan 1.750000e-01 6.150000e+00
nan nan 1.750000e-01 6.250000e+00
nan nan 1.750000e-01 6.350000e+00
nan nan 1.750000e-01 6.450000e+00
nan nan 1.750000e-01 6.550000e+00
nan nan 1.750000e-01 6.650000e+00
nan nan 1.750000e-01 6.750000e+00
nan nan 1.750000e-01 6.850000e+00
nan nan 1.750000e-01 6.950000e+00
3.264775e+01 9.738022e-01 2.250000e-01 5.000000e-02
8.898109e+00 5.207233e-01 2.250000e-01 1.500000e-01
1.245558e+00 1.899463e-01 2.250000e-01 2.500000e-01
6.112650e-01 1.366831e-01 2.250000e-01 3.500000e-01
3.753420e-01 1.041013e-01 2.250000e-01 4.500000e-01
3.655691e-01 1.055309e-01 2.250000e-01 5.500000e-01
