# Intensity Error [-0.667H,0.333H,0] DeltaE
#  shape: 34x70
6.538875e-02 6.541811e-02 3.783300e-01 3.450000e+00
9.797280e-02 5.656463e-02 3.783300e-01 3.550000e+00
-3.235554e-02 7.293711e-02 3.783300e-01 3.650000e+00
9.528391e-02 8.367587e-02 3.783300e-01 3.750000e+00
1.221163e-01 6.105858e-02 3.783300e-01 3.850000e+00
2.952322e-02 6.638301e-02 3.783300e-01 3.950000e+00
-5.730975e-02 5.729836e-02 3.783300e-01 4.050000e+00
2.730097e-02 7.197058e-02 3.783300e-01 4.150000e+00
1.284151e-01 6.796108e-02 3.783300e-01 4.250000e+00
2.397980e-01 8.308388e-02 3.783300e-01 4.350000e+00
1.128317e-01 9.275270e-02 3.783300e-01 4.450000e+00
1.180072e-01 7.078878e-02 3.783300e-01 4.550000e+00
2.141967e-01 1.000436e-01 3.783300e-01 4.650000e+00
2.176862e-01 1.208246e-01 3.783300e-01 4.750000e+00
1.923884e-01 8.604016e-02 3.783300e-01 4.850000e+00
3.663257e-01 1.571960e-01 3.783300e-01 4.950000e+00
1.720444e-04 1.348283e-01 3.783300e-01 5.050000e+00
4.547236e-01 4.547236e-01 3.783300e-01 5.150000e+00
nan nan 3.783300e-01 5.250000e+00
nan nan 3.783300e-01 5.350000e+00
nan nan 3.783300e-01 5.450000e+00
nan nan 3.783300e-01 5.550000e+00
nan nan 3.783300e-01 5.650000e+00
nan nan 3.783300e-01 5.750000e+00
nan nan 3.783300e-01 5.850000e+00
nan nan 3.783300e-01 5.950000e+00
nan nan 3.783300e-01 6.050000e+00
nan nan 3.783300e-01 6.150000e+00
nan nan 3.783300e-01 6.250000e+00
nan nan 3.783300e-01 6.350000e+00
nan nan 3.783300e-01 6.450000e+00
nan nan 3.783300e-01 6.550000e+00
nan nan 3.783300e-01 6.650000e+00
nan nan 3.783300e-01 6.750000e+00
nan nan 3.783300e-01 6.850000e+00
nan nan 3.783300e-01 6.950000e+00
2.237895e+01 9.533770e-01 4.083300e-01 5.000000e-02
7.643246e+00 5.696949e-01 4.083300e-01 1.500000e-01
2.164103e+00 2.944976e-01 4.083300e-01 2.500000e-01
5.969529e-01 1.595425e-01 4.083300e-01 3.500000e-01
3.217544e-01 1.271680e-01 4.083300e-01 4.500000e-01
5.099167e-01 1.472004e-01 4.083300e-01 5.500000e-01
1.623717e-01 8.118585e-02 4.083300e-01 6.500000e-01
-2.858005e-04 5.965200e-02 4.083300e-01 7.500000e-01
1.654849e-01 8.274255e-02 4.083300e-01 8.500000e-01
8.269059e-02 5.847118e-02 4.083300e-01 9.500000e-01
4.192008e-02 9.346546e-02 4.083300e-01 1.050000e+00
4.082360e-02 4.082360e-02 4.083300e-01 1.150000e+00
8.414428e-02 5.949907e-02 4.083300e-01 1.250000e+00
8.031778e-02 5.679325e-02 4.083300e-01 1.350000e+00
-8.396923e-02 5.937524e-02 4.083300e-01 1.450000e+00
7.896462e-02 5.583645e-02 4.083300e-01 1.550000e+00
4.134249e-02 4.134249e-02 4.083300e-01 1.650000e+00
1.169316e-01 6.751052e-02 4.083300e-01 1.750000e+00
-1.309360e-05 5.789901e-02 4.083300e-01 1.850000e+00
0.000000e+00 0.000000e+00 4.083300e-01 1.950000e+00
7.990820e-02 5.650364e-02 4.083300e-01 2.050000e+00
-3.825109e-02 6.648073e-02 4.083300e-01 2.150000e+00
3.832384e-02 3.832384e-02 4.083300e-01 2.250000e+00
7.567335e-02 5.350920e-02 4.083300e-01 2.350000e+00
1.500175e-01 7.500880e-02 4.083300e-01 2.450000e+00
3.690506e-02 3.690507e-02 4.083300e-01 2.550000e+00
3.714056e-02 6.426049e-02 4.083300e-01 2.650000e+00
3.552471e-02 6.181435e-02 4.083300e-01 2.750000e+00
7.334999e-02 7.320193e-02 4.083300e-01 2.850000e+00
1.055614e-01 7.851415e-02 4.083300e-01 2.950000e+00
1.785336e-01 7.984289e-02 4.083300e-01 3.050000e+00
6.904174e-02 6.903404e-02 4.083300e-01 3.150000e+00
1.042456e-01 6.018650e-02 4.083300e-01 3.250000e+00
1.024501e-01 8.983165e-02 4.083300e-01 3.350000e+00
9.905710e-02 5.719072e-02 4.083300e-01 3.450000e+00
3.358516e-02 3.358516e-02 4.083300e-01 3.550000e+00
9.692269e-02 7.242875e-02 4.083300e-01 3.650000e+00
1.954168e-01 7.977870e-02 4.083300e-01 3.750000e+00
1.283320e-01 9.071221e-02 4.083300e-01 3.850000e+00
1.512982e-01 6.766302e-02 4.083300e-01 3.950000e+00
1.754537e-01 7.162909e-02 4.083300e-01 4.050000e+00
8.530478e-02 7.548915e-02 4.083300e-01 4.150000e+00
1.874142e-01 9.664565e-02 4.083300e-01 4.250000e+00
1.013321e-01 8.770245e-02 4.083300e-01 4.350000e+00
1.185167e-01 7.093848e-02 4.083300e-01 4.450000e+00
1.228459e-01 7.377346e-02 4.083300e-01 4.550000e+00
1.132528e-01 8.951446e-02 4.083300e-01 4.650000e+00
9.782754e-02 8.668212e-02 4.083300e-01 4.750000e+00
1.230311e-01 9.108220e-02 4.083300e-01 4.850000e+00
3.356990e-01 1.769111e-01 4.083300e-01 4.950000e+00
1.277840e-03 1.351717e-01 4.083300e-01 5.050000e+00
0.000000e+00 0.000000e+00 4.083300e-01 5.150000e+00
nan nan 4.083300e-01 5.250000e+00
nan nan 4.083300e-01 5.350000e+00
nan nan 4.083300e-01 5.450000e+00
nan nan 4.083300e-01 5.550000e+00
nan nan 4.083300e-01 5.650000e+00
nan nan 4.083300e-01 5.750000e+00
nan nan 4.083300e-01 5.850000e+00
nan nan 4.083300e-01 5.950000e+00
nan nan 4.083300e-01 6.050000e+00
nan nan 4.083300e-01 6.150000e+00
nan nan 4.083300e-01 6.250000e+00
nan nan 4.083300e-01 6.350000e+00
nan nan 4.083300e-01 6.450000e+00
nan nan 4.083300e-01 6.550000e+00
nan nan 4.083300e-01 6.650000e+00
nan nan 4.083300e-01 6.750000e+00
nan nan 4.083300e-01 6.850000e+00
nan nan 4.083300e-01 6.950000e+00
2.270271e+01 9.654252e-01 4.383300e-01 5.000000e-02
6.131370e+00 5.181962e-01 4.383300e-01 1.500000e-01
1.736881e+00 2.680069e-01 4.383300e-01 2.500000e-01
7.806907e-01 1.840109e-01 4.383300e-01 3.500000e-01
