# Intensity Error [0.5H,0,0] DeltaE
#  shape: 34x70
2.219536e+01 8.517665e-01 1.500000e-02 5.000000e-02
6.081905e+00 4.482553e-01 1.500000e-02 1.500000e-01
1.281837e+00 2.076557e-01 1.500000e-02 2.500000e-01
5.013440e-01 1.377675e-01 1.500000e-02 3.500000e-01
1.278606e-01 6.393042e-02 1.500000e-02 4.500000e-01
2.409671e-01 8.519493e-02 1.500000e-02 5.500000e-01
1.565324e-01 8.281939e-02 1.500000e-02 6.500000e-01
5.792190e-02 4.095702e-02 1.500000e-02 7.500000e-01
1.602310e-01 6.541410e-02 1.500000e-02 8.500000e-01
1.047747e-01 5.238744e-02 1.500000e-02 9.500000e-01
1.010080e-01 6.191055e-02 1.500000e-02 1.050000e+00
4.845788e-02 4.854520e-02 1.500000e-02 1.150000e+00
9.571212e-02 7.573490e-02 1.500000e-02 1.250000e+00
1.691570e-01 8.704306e-02 1.500000e-02 1.350000e+00
1.443923e-01 7.618389e-02 1.500000e-02 1.450000e+00
1.208027e-01 6.385555e-02 1.500000e-02 1.550000e+00
7.179756e-02 5.340317e-02 1.500000e-02 1.650000e+00
4.767098e-02 4.771236e-02 1.500000e-02 1.750000e+00
1.449520e-01 6.825705e-02 1.500000e-02 1.850000e+00
4.809314e-02 5.840914e-02 1.500000e-02 1.950000e+00
4.762463e-02 4.761021e-02 1.500000e-02 2.050000e+00
-1.311444e-04 4.793598e-02 1.500000e-02 2.150000e+00
2.411120e-02 6.294592e-02 1.500000e-02 2.250000e+00
-2.358127e-02 2.358127e-02 1.500000e-02 2.350000e+00
4.684147e-02 3.312198e-02 1.500000e-02 2.450000e+00
7.028914e-02 5.223998e-02 1.500000e-02 2.550000e+00
4.778860e-02 4.774496e-02 1.500000e-02 2.650000e+00
1.168489e-01 6.180257e-02 1.500000e-02 2.750000e+00
9.135331e-02 4.567694e-02 1.500000e-02 2.850000e+00
1.617338e-01 1.202734e-01 1.500000e-02 2.950000e+00
-4.636524e-02 1.443989e-01 1.500000e-02 3.050000e+00
6.836633e-02 5.094440e-02 1.500000e-02 3.150000e+00
1.132933e-01 5.996220e-02 1.500000e-02 3.250000e+00
4.574864e-02 5.598771e-02 1.500000e-02 3.350000e+00
4.086487e-01 1.014649e-01 1.500000e-02 3.450000e+00
6.592873e-01 1.203695e-01 1.500000e-02 3.550000e+00
4.041072e-01 9.524944e-02 1.500000e-02 3.650000e+00
2.243946e-01 8.403535e-02 1.500000e-02 3.750000e+00
1.112888e-01 5.895861e-02 1.500000e-02 3.850000e+00
4.276643e-02 5.268966e-02 1.500000e-02 3.950000e+00
-2.088525e-04 6.853906e-02 1.500000e-02 4.050000e+00
1.738083e-01 8.112998e-02 1.500000e-02 4.150000e+00
6.425496e-02 5.675623e-02 1.500000e-02 4.250000e+00
6.407013e-02 6.360924e-02 1.500000e-02 4.350000e+00
6.207148e-02 4.607664e-02 1.500000e-02 4.450000e+00
6.144107e-02 5.408326e-02 1.500000e-02 4.550000e+00
1.586945e-04 6.994281e-02 1.500000e-02 4.650000e+00
1.005970e-01 5.307296e-02 1.500000e-02 4.750000e+00
1.390328e-01 7.709926e-02 1.500000e-02 4.850000e+00
-1.238133e-04 5.601059e-02 1.500000e-02 4.950000e+00
-2.037623e-02 6.481156e-02 1.500000e-02 5.050000e+00
9.583635e-02 7.408280e-02 1.500000e-02 5.150000e+00
9.333723e-02 7.262990e-02 1.500000e-02 5.250000e+00
-1.103286e-01 5.822766e-02 1.500000e-02 5.350000e+00
1.726345e-02 7.868770e-02 1.500000e-02 5.450000e+00
1.581773e-01 8.433905e-02 1.500000e-02 5.550000e+00
1.027729e-01 9.090427e-02 1.500000e-02 5.650000e+00
1.687269e-02 8.981038e-02 1.500000e-02 5.750000e+00
3.363048e-02 9.169958e-02 1.500000e-02 5.850000e+00
-1.551581e-01 1.157120e-01 1.500000e-02 5.950000e+00
9.611762e-02 1.178407e-01 1.500000e-02 6.050000e+00
-2.559026e-01 1.508347e-01 1.500000e-02 6.150000e+00
2.009552e-01 2.133466e-01 1.500000e-02 6.250000e+00
4.030076e-04 2.835487e-01 1.500000e-02 6.350000e+00
0.000000e+00 0.000000e+00 1.500000e-02 6.450000e+00
nan nan 1.500000e-02 6.550000e+00
nan nan 1.500000e-02 6.650000e+00
nan nan 1.500000e-02 6.750000e+00
nan nan 1.500000e-02 6.850000e+00
nan nan 1.500000e-02 6.950000e+00
2.324052e+01 8.734273e-01 4.500000e-02 5.000000e-02
6.168202e+00 4.557529e-01 4.500000e-02 1.500000e-01
1.203713e+00 2.133263e-01 4.500000e-02 2.500000e-01
5.444047e-01 1.395642e-01 4.500000e-02 3.500000e-01
2.303988e-01 8.708266e-02 4.500000e-02 4.500000e-01
1.318160e-01 6.590799e-02 4.500000e-02 5.500000e-01
1.546094e-01 6.914350e-02 4.500000e-02 6.500000e-01
3.016052e-02 3.016052e-02 4.500000e-02 7.500000e-01
9.271976e-02 5.353181e-02 4.500000e-02 8.500000e-01
5.482769e-02 3.876903e-02 4.500000e-02 9.500000e-01
