# Intensity Error [-0.167K,0.333K,0] DeltaE
#  shape: 20x70
7.311530e-01 1.311056e-01 2.075000e+00 3.550000e+00
4.986965e-01 1.063229e-01 2.075000e+00 3.650000e+00
3.890404e-01 9.435676e-02 2.075000e+00 3.750000e+00
1.150345e-01 7.620577e-02 2.075000e+00 3.850000e+00
1.531758e-01 5.789537e-02 2.075000e+00 3.950000e+00
1.417705e-01 6.718019e-02 2.075000e+00 4.050000e+00
7.814152e-02 4.773362e-02 2.075000e+00 4.150000e+00
2.180576e-01 7.679162e-02 2.075000e+00 4.250000e+00
3.886944e-02 6.272720e-02 2.075000e+00 4.350000e+00
-5.583544e-02 6.735259e-02 2.075000e+00 4.450000e+00
7.017287e-02 4.993368e-02 2.075000e+00 4.550000e+00
1.884838e-02 4.855510e-02 2.075000e+00 4.650000e+00
1.839255e-01 6.878285e-02 2.075000e+00 4.750000e+00
1.361386e-01 6.457842e-02 2.075000e+00 4.850000e+00
2.717992e-02 9.418925e-02 2.075000e+00 4.950000e+00
5.949206e-02 1.337874e-01 2.075000e+00 5.050000e+00
0.000000e+00 0.000000e+00 2.075000e+00 5.150000e+00
nan nan 2.075000e+00 5.250000e+00
nan nan 2.075000e+00 5.350000e+00
nan nan 2.075000e+00 5.450000e+00
nan nan 2.075000e+00 5.550000e+00
nan nan 2.075000e+00 5.650000e+00
nan nan 2.075000e+00 5.750000e+00
nan nan 2.075000e+00 5.850000e+00
nan nan 2.075000e+00 5.950000e+00
nan nan 2.075000e+00 6.050000e+00
nan nan 2.075000e+00 6.150000e+00
nan nan 2.075000e+00 6.250000e+00
nan nan 2.075000e+00 6.350000e+00
nan nan 2.075000e+00 6.450000e+00
nan nan 2.075000e+00 6.550000e+00
nan nan 2.075000e+00 6.650000e+00
nan nan 2.075000e+00 6.750000e+00
nan nan 2.075000e+00 6.850000e+00
nan nan 2.075000e+00 6.950000e+00
2.504426e+01 1.042560e+00 2.125000e+00 5.000000e-02
8.384915e+00 5.957927e-01 2.125000e+00 1.500000e-01
1.855745e+00 2.797646e-01 2.125000e+00 2.500000e-01
6.706377e-01 1.626537e-01 2.125000e+00 3.500000e-01
2.696956e-01 1.155187e-01 2.125000e+00 4.500000e-01
2.326209e-01 1.097619e-01 2.125000e+00 5.500000e-01
1.489292e-01 1.179831e-01 2.125000e+00 6.500000e-01
2.252039e-01 1.187806e-01 2.125000e+00 7.500000e-01
6.930292e-02 6.911640e-02 2.125000e+00 8.500000e-01
3.353079e-02 7.475231e-02 2.125000e+00 9.500000e-01
9.480311e-02 8.377009e-02 2.125000e+00 1.050000e+00
1.211935e-01 6.059685e-02 2.125000e+00 1.150000e+00
8.883611e-02 5.128963e-02 2.125000e+00 1.250000e+00
0.000000e+00 0.000000e+00 2.125000e+00 1.350000e+00
0.000000e+00 0.000000e+00 2.125000e+00 1.450000e+00
2.681957e-01 8.481119e-02 2.125000e+00 1.550000e+00
7.974220e-02 4.603935e-02 2.125000e+00 1.650000e+00
5.185357e-02 6.341410e-02 2.125000e+00 1.750000e+00
2.602845e-02 5.758324e-02 2.125000e+00 1.850000e+00
7.680147e-02 4.434141e-02 2.125000e+00 1.950000e+00
5.102750e-02 6.278613e-02 2.125000e+00 2.050000e+00
2.588312e-02 4.468338e-02 2.125000e+00 2.150000e+00
-1.160764e-04 5.266433e-02 2.125000e+00 2.250000e+00
1.057564e-01 5.287837e-02 2.125000e+00 2.350000e+00
-4.271632e-04 7.445094e-02 2.125000e+00 2.450000e+00
7.848627e-02 8.673494e-02 2.125000e+00 2.550000e+00
1.067874e-01 5.339382e-02 2.125000e+00 2.650000e+00
8.121985e-02 6.060622e-02 2.125000e+00 2.750000e+00
1.881536e-01 8.054243e-02 2.125000e+00 2.850000e+00
2.682816e-02 5.968233e-02 2.125000e+00 2.950000e+00
5.300547e-02 7.514046e-02 2.125000e+00 3.050000e+00
5.255973e-02 5.251988e-02 2.125000e+00 3.150000e+00
1.307547e-01 6.912096e-02 2.125000e+00 3.250000e+00
5.002070e-02 7.055051e-02 2.125000e+00 3.350000e+00
2.141035e-01 8.579053e-02 2.125000e+00 3.450000e+00
4.300296e-01 9.865619e-02 2.125000e+00 3.550000e+00
5.879673e-01 1.251749e-01 2.125000e+00 3.650000e+00
2.838859e-01 8.464695e-02 2.125000e+00 3.750000e+00
1.335310e-01 6.301675e-02 2.125000e+00 3.850000e+00
1.368233e-01 7.895312e-02 2.125000e+00 3.950000e+00
1.597431e-01 7.572731e-02 2.125000e+00 4.050000e+00
6.689108e-02 5.904249e-02 2.125000e+00 4.150000e+00
2.853931e-01 8.156193e-02 2.125000e+00 4.250000e+00
3.930757e-02 5.541528e-02 2.125000e+00 4.350000e+00
1.581142e-01 8.397044e-02 2.125000e+00 4.450000e+00
-9.751472e-02 5.875949e-02 2.125000e+00 4.550000e+00
5.476209e-02 6.531745e-02 2.125000e+00 4.650000e+00
