# Intensity Error [0,-0.5K,0] DeltaE
#  shape: 34x70
1.388352e+02 3.299067e+00 -1.985000e+00 5.000000e-02
2.539770e+01 1.406650e+00 -1.985000e+00 1.500000e-01
2.840031e+00 4.870621e-01 -1.985000e+00 2.500000e-01
6.912829e-01 2.444058e-01 -1.985000e+00 3.500000e-01
6.800852e-01 2.266955e-01 -1.985000e+00 4.500000e-01
2.974658e-01 1.487332e-01 -1.985000e+00 5.500000e-01
4.624770e-01 1.888057e-01 -1.985000e+00 6.500000e-01
6.834147e-01 2.366597e-01 -1.985000e+00 7.500000e-01
1.090688e+00 2.645312e-01 -1.985000e+00 8.500000e-01
1.014178e+00 2.618605e-01 -1.985000e+00 9.500000e-01
6.329275e-01 2.109762e-01 -1.985000e+00 1.050000e+00
4.487389e-01 1.696076e-01 -1.985000e+00 1.150000e+00
1.970029e-01 1.137401e-01 -1.985000e+00 1.250000e+00
7.847551e-05 9.885642e-02 -1.985000e+00 1.350000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 1.450000e+00
5.114184e-01 1.808140e-01 -1.985000e+00 1.550000e+00
2.712482e-01 1.356246e-01 -1.985000e+00 1.650000e+00
2.185072e-01 1.261553e-01 -1.985000e+00 1.750000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 1.850000e+00
7.624977e-02 7.624977e-02 -1.985000e+00 1.950000e+00
8.978538e-02 8.978538e-02 -1.985000e+00 2.050000e+00
8.818484e-02 8.818484e-02 -1.985000e+00 2.150000e+00
1.879657e-01 1.329120e-01 -1.985000e+00 2.250000e+00
2.152103e-01 1.521770e-01 -1.985000e+00 2.350000e+00
1.009296e-01 1.009296e-01 -1.985000e+00 2.450000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 2.550000e+00
9.988259e-02 9.988259e-02 -1.985000e+00 2.650000e+00
8.868477e-02 8.868477e-02 -1.985000e+00 2.750000e+00
1.560418e-01 1.103382e-01 -1.985000e+00 2.850000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 2.950000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 3.050000e+00
1.336041e-01 9.447236e-02 -1.985000e+00 3.150000e+00
1.386431e-01 9.803611e-02 -1.985000e+00 3.250000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 3.350000e+00
1.862726e-01 1.075453e-01 -1.985000e+00 3.450000e+00
6.616461e-02 1.489858e-01 -1.985000e+00 3.550000e+00
1.850438e-01 1.068363e-01 -1.985000e+00 3.650000e+00
-5.943617e-02 5.943617e-02 -1.985000e+00 3.750000e+00
1.374499e-03 2.080053e-01 -1.985000e+00 3.850000e+00
1.211561e-01 1.715896e-01 -1.985000e+00 3.950000e+00
1.851059e-01 1.851598e-01 -1.985000e+00 4.050000e+00
-3.251626e-01 2.157044e-01 -1.985000e+00 4.150000e+00
1.740083e-01 1.917554e-01 -1.985000e+00 4.250000e+00
-3.119702e-01 1.873021e-01 -1.985000e+00 4.350000e+00
6.134544e-02 1.799126e-01 -1.985000e+00 4.450000e+00
-5.706552e-02 9.835882e-02 -1.985000e+00 4.550000e+00
5.814038e-02 5.814038e-02 -1.985000e+00 4.650000e+00
5.103420e-02 8.895552e-02 -1.985000e+00 4.750000e+00
5.229307e-02 1.545380e-01 -1.985000e+00 4.850000e+00
-6.594271e-04 1.510250e-01 -1.985000e+00 4.950000e+00
-9.783079e-04 1.321032e-01 -1.985000e+00 5.050000e+00
4.281666e-01 2.078190e-01 -1.985000e+00 5.150000e+00
5.255435e-01 2.289135e-01 -1.985000e+00 5.250000e+00
-2.047458e-01 1.896003e-01 -1.985000e+00 5.350000e+00
-1.077784e-01 2.016933e-01 -1.985000e+00 5.450000e+00
2.268967e-01 1.788171e-01 -1.985000e+00 5.550000e+00
1.553027e-01 1.563483e-01 -1.985000e+00 5.650000e+00
4.567629e-02 1.041870e-01 -1.985000e+00 5.750000e+00
2.086810e-01 1.100056e-01 -1.985000e+00 5.850000e+00
8.053144e-02 1.286175e-01 -1.985000e+00 5.950000e+00
-4.433548e-02 1.291443e-01 -1.985000e+00 6.050000e+00
3.532089e-01 2.762968e-01 -1.985000e+00 6.150000e+00
8.695098e-02 3.111397e-01 -1.985000e+00 6.250000e+00
3.676278e-01 3.416949e-01 -1.985000e+00 6.350000e+00
-2.335107e-01 3.282911e-01 -1.985000e+00 6.450000e+00
-1.092657e-01 2.442852e-01 -1.985000e+00 6.550000e+00
-2.852427e-01 2.624550e-01 -1.985000e+00 6.650000e+00
-2.736793e-01 2.093613e-01 -1.985000e+00 6.750000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 6.850000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 6.950000e+00
3.072232e+01 1.456380e+00 -1.955000e+00 5.000000e-02
9.946222e+00 7.963363e-01 -1.955000e+00 1.500000e-01
2.450416e+00 4.084033e-01 -1.955000e+00 2.500000e-01
1.477594e+00 3.304005e-01 -1.955000e+00 3.500000e-01
3.034355e-01 1.517179e-01 -1.955000e+00 4.500000e-01
1.490596e-01 1.054015e-01 -1.955000e+00 5.500000e-01
9.567721e-01 2.761967e-01 -1.955000e+00 6.500000e-01
6.743983e-01 2.384363e-01 -1.955000e+00 7.500000e-01
9.411344e-01 2.716825e-01 -1.955000e+00 8.500000e-01
8.309447e-01 2.505396e-01 -1.955000e+00 9.500000e-01
4.634086e-01 1.891861e-01 -1.955000e+00 1.050000e+00
2.875601e-01 1.437805e-01 -1.955000e+00 1.150000e+00
7.084748e-01 2.136138e-01 -1.955000e+00 1.250000e+00
6.031783e-01 2.010596e-01 -1.955000e+00 1.350000e+00
2.038305e-01 1.522683e-01 -1.955000e+00 1.450000e+00
5.644287e-01 1.881433e-01 -1.955000e+00 1.550000e+00
3.866413e-01 1.578461e-01 -1.955000e+00 1.650000e+00
1.364815e-01 9.650749e-02 -1.955000e+00 1.750000e+00
1.274516e-01 9.012224e-02 -1.955000e+00 1.850000e+00
1.899023e-01 1.096402e-01 -1.955000e+00 1.950000e+00
-6.737405e-02 6.737405e-02 -1.955000e+00 2.050000e+00
1.299656e-01 9.189980e-02 -1.955000e+00 2.150000e+00
1.247283e-01 8.819640e-02 -1.955000e+00 2.250000e+00
1.371080e-01 9.695013e-02 -1.955000e+00 2.350000e+00
1.452812e-01 1.027304e-01 -1.955000e+00 2.450000e+00
2.779927e-01 1.389965e-01 -1.955000e+00 2.550000e+00
2.297692e-01 1.326575e-01 -1.955000e+00 2.650000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 2.750000e+00
8.185035e-02 8.185035e-02 -1.955000e+00 2.850000e+00
8.907209e-02 8.907209e-02 -1.955000e+00 2.950000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 3.050000e+00
9.106329e-02 9.106330e-02 -1.955000e+00 3.150000e+00
4.995134e-05 1.402311e-01 -1.955000e+00 3.250000e+00
1.916280e-01 1.355019e-01 -1.955000e+00 3.350000e+00
8.703506e-02 8.703506e-02 -1.955000e+00 3.450000e+00
9.289351e-02 1.592909e-01 -1.955000e+00 3.550000e+00
8.588622e-02 8.588622e-02 -1.955000e+00 3.650000e+00
1.657265e-01 1.655698e-01 -1.955000e+00 3.750000e+00
3.558151e-01 1.779081e-01 -1.955000e+00 3.850000e+00
-7.766771e-02 1.354258e-01 -1.955000e+00 3.950000e+00
9.662215e-04 1.920159e-01 -1.955000e+00 4.050000e+00
-2.444676e-01 2.455158e-01 -1.955000e+00 4.150000e+00
-2.914493e-01 2.733887e-01 -1.955000e+00 4.250000e+00
7.771426e-02 2.628064e-01 -1.955000e+00 4.350000e+00
-7.394115e-02 1.678255e-01 -1.955000e+00 4.450000e+00
7.239149e-04 1.025504e-01 -1.955000e+00 4.550000e+00
-7.430039e-02 1.285232e-01 -1.955000e+00 4.650000e+00
1.273856e-04 9.791135e-02 -1.955000e+00 4.750000e+00
6.943214e-02 6.943214e-02 -1.955000e+00 4.850000e+00
-6.282103e-02 1.680495e-01 -1.955000e+00 4.950000e+00
2.092156e-03 1.492854e-01 -1.955000e+00 5.050000e+00
-1.132597e-01 2.069456e-01 -1.955000e+00 5.150000e+00
1.936410e-03 2.034603e-01 -1.955000e+00 5.250000e+00
7.046079e-01 2.253040e-01 -1.955000e+00 5.350000e+00
2.174808e-01 1.795518e-01 -1.955000e+00 5.450000e+00
7.969610e-02 1.516784e-01 -1.955000e+00 5.550000e+00
1.215035e-01 1.569558e-01 -1.955000e+00 5.650000e+00
9.142930e-04 1.320867e-01 -1.955000e+00 5.750000e+00
1.765300e-01 1.075670e-01 -1.955000e+00 5.850000e+00
1.292313e-01 1.562474e-01 -1.955000e+00 5.950000e+00
8.112050e-02 1.399180e-01 -1.955000e+00 6.050000e+00
3.192175e-01 2.639661e-01 -1.955000e+00 6.150000e+00
-1.681984e-01 3.362887e-01 -1.955000e+00 6.250000e+00
7.615830e-01 2.901566e-01 -1.955000e+00 6.350000e+00
1.109307e-01 2.964180e-01 -1.955000e+00 6.450000e+00
6.444212e-01 1.963423e-01 -1.955000e+00 6.550000e+00
-1.043036e-01 2.279004e-01 -1.955000e+00 6.650000e+00
9.486341e-02 1.551963e-01 -1.955000e+00 6.750000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 6.850000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 6.950000e+00
2.167925e+01 1.204405e+00 -1.925000e+00 5.000000e-02
8.656895e+00 7.534873e-01 -1.925000e+00 1.500000e-01
2.447329e+00 4.018927e-01 -1.925000e+00 2.500000e-01
1.297888e+00 2.902171e-01 -1.925000e+00 3.500000e-01
6.832952e-02 6.832952e-02 -1.925000e+00 4.500000e-01
1.259566e-01 1.255530e-01 -1.925000e+00 5.500000e-01
8.407744e-01 2.331892e-01 -1.925000e+00 6.500000e-01
1.144124e+00 2.860315e-01 -1.925000e+00 7.500000e-01
9.143534e-01 2.535962e-01 -1.925000e+00 8.500000e-01
5.656211e-01 2.235681e-01 -1.925000e+00 9.500000e-01
7.515431e-01 2.812432e-01 -1.925000e+00 1.050000e+00
4.868232e-01 1.987452e-01 -1.925000e+00 1.150000e+00
3.028526e-01 1.514268e-01 -1.925000e+00 1.250000e+00
1.558510e-01 1.102034e-01 -1.925000e+00 1.350000e+00
