# Intensity Error [0,-0.5K,0] DeltaE
#  shape: 34x70
9.429780e-02 9.429780e-02 -1.955000e+00 2.550000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 2.650000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 2.750000e+00
2.232655e-01 1.578726e-01 -1.955000e+00 2.850000e+00
1.366244e-01 1.366244e-01 -1.955000e+00 2.950000e+00
3.064549e-01 2.166980e-01 -1.955000e+00 3.050000e+00
1.244424e-01 2.162315e-01 -1.955000e+00 3.150000e+00
1.574234e-01 1.574234e-01 -1.955000e+00 3.250000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 3.350000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 3.450000e+00
-1.524450e-01 1.524450e-01 -1.955000e+00 3.550000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 3.650000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 3.750000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 3.850000e+00
-1.106320e-01 1.106320e-01 -1.955000e+00 3.950000e+00
2.321701e-01 1.641705e-01 -1.955000e+00 4.050000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 4.150000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 4.250000e+00
1.290070e-01 1.290070e-01 -1.955000e+00 4.350000e+00
-1.099800e-01 1.099800e-01 -1.955000e+00 4.450000e+00
1.062589e-01 1.062589e-01 -1.955000e+00 4.550000e+00
-1.336503e-01 1.336503e-01 -1.955000e+00 4.650000e+00
1.013870e-01 1.013870e-01 -1.955000e+00 4.750000e+00
-1.388198e-01 1.388198e-01 -1.955000e+00 4.850000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 4.950000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 5.050000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 5.150000e+00
-3.025146e-01 1.746582e-01 -1.955000e+00 5.250000e+00
1.053886e-03 2.381063e-01 -1.955000e+00 5.350000e+00
-6.234938e-04 1.182953e-01 -1.955000e+00 5.450000e+00
8.198737e-02 1.862244e-01 -1.955000e+00 5.550000e+00
8.038635e-02 8.038636e-02 -1.955000e+00 5.650000e+00
-8.199424e-02 1.439610e-01 -1.955000e+00 5.750000e+00
2.809703e-01 2.779261e-01 -1.955000e+00 5.850000e+00
-7.842970e-02 2.365519e-01 -1.955000e+00 5.950000e+00
2.708906e-01 2.012608e-01 -1.955000e+00 6.050000e+00
-2.278090e-01 1.998423e-01 -1.955000e+00 6.150000e+00
3.137371e-01 2.240523e-01 -1.955000e+00 6.250000e+00
-1.614719e-01 1.630994e-01 -1.955000e+00 6.350000e+00
-6.798583e-02 3.239932e-01 -1.955000e+00 6.450000e+00
-2.247998e-01 4.040119e-01 -1.955000e+00 6.550000e+00
-2.048016e-01 4.602899e-01 -1.955000e+00 6.650000e+00
-1.458468e-03 2.629885e-01 -1.955000e+00 6.750000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 6.850000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 6.950000e+00
1.849879e+01 1.414641e+00 -1.925000e+00 5.000000e-02
8.963627e+00 9.501442e-01 -1.925000e+00 1.500000e-01
3.316434e+00 5.379977e-01 -1.925000e+00 2.500000e-01
2.281656e+00 4.959965e-01 -1.925000e+00 3.500000e-01
1.448347e+00 4.017001e-01 -1.925000e+00 4.500000e-01
4.494858e-01 2.010168e-01 -1.925000e+00 5.500000e-01
9.170275e-02 9.170275e-02 -1.925000e+00 6.500000e-01
1.174602e-01 1.174602e-01 -1.925000e+00 7.500000e-01
1.086516e-01 1.086516e-01 -1.925000e+00 8.500000e-01
2.926292e-01 1.689500e-01 -1.925000e+00 9.500000e-01
0.000000e+00 0.000000e+00 -1.925000e+00 1.050000e+00
1.305458e-01 1.305458e-01 -1.925000e+00 1.150000e+00
8.546601e-01 3.021684e-01 -1.925000e+00 1.250000e+00
4.608165e-01 2.304084e-01 -1.925000e+00 1.350000e+00
5.425174e-01 2.712594e-01 -1.925000e+00 1.450000e+00
3.035379e-01 1.752488e-01 -1.925000e+00 1.550000e+00
1.954423e-01 1.381986e-01 -1.925000e+00 1.650000e+00
2.391611e-01 1.691125e-01 -1.925000e+00 1.750000e+00
0.000000e+00 0.000000e+00 -1.925000e+00 1.850000e+00
0.000000e+00 0.000000e+00 -1.925000e+00 1.950000e+00
3.065714e-01 1.769999e-01 -1.925000e+00 2.050000e+00
3.108482e-01 1.794689e-01 -1.925000e+00 2.150000e+00
2.518075e-01 1.453821e-01 -1.925000e+00 2.250000e+00
0.000000e+00 0.000000e+00 -1.925000e+00 2.350000e+00
0.000000e+00 0.000000e+00 -1.925000e+00 2.450000e+00
8.330532e-02 8.330532e-02 -1.925000e+00 2.550000e+00
0.000000e+00 0.000000e+00 -1.925000e+00 2.650000e+00
1.078730e-01 1.078730e-01 -1.925000e+00 2.750000e+00
0.000000e+00 0.000000e+00 -1.925000e+00 2.850000e+00
3.782948e-01 1.891486e-01 -1.925000e+00 2.950000e+00
2.223546e-01 1.572287e-01 -1.925000e+00 3.050000e+00
8.144441e-02 8.144440e-02 -1.925000e+00 3.150000e+00
1.941733e-01 1.373036e-01 -1.925000e+00 3.250000e+00
1.130786e-01 1.130786e-01 -1.925000e+00 3.350000e+00
3.569310e-01 1.784659e-01 -1.925000e+00 3.450000e+00
