# Intensity Error [0.5H,-0.5H,0] DeltaE
#  shape: 34x70
0.000000e+00 0.000000e+00 -1.955000e+00 3.650000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 3.750000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 3.850000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 3.950000e+00
nan nan -1.955000e+00 4.050000e+00
nan nan -1.955000e+00 4.150000e+00
nan nan -1.955000e+00 4.250000e+00
nan nan -1.955000e+00 4.350000e+00
nan nan -1.955000e+00 4.450000e+00
nan nan -1.955000e+00 4.550000e+00
nan nan -1.955000e+00 4.650000e+00
nan nan -1.955000e+00 4.750000e+00
nan nan -1.955000e+00 4.850000e+00
nan nan -1.955000e+00 4.950000e+00
nan nan -1.955000e+00 5.050000e+00
nan nan -1.955000e+00 5.150000e+00
nan nan -1.955000e+00 5.250000e+00
nan nan -1.955000e+00 5.350000e+00
nan nan -1.955000e+00 5.450000e+00
nan nan -1.955000e+00 5.550000e+00
nan nan -1.955000e+00 5.650000e+00
nan nan -1.955000e+00 5.750000e+00
nan nan -1.955000e+00 5.850000e+00
nan nan -1.955000e+00 5.950000e+00
nan nan -1.955000e+00 6.050000e+00
nan nan -1.955000e+00 6.150000e+00
nan nan -1.955000e+00 6.250000e+00
nan nan -1.955000e+00 6.350000e+00
nan nan -1.955000e+00 6.450000e+00
nan nan -1.955000e+00 6.550000e+00
nan nan -1.955000e+00 6.650000e+00
nan nan -1.955000e+00 6.750000e+00
nan nan -1.955000e+00 6.850000e+00
nan nan -1.955000e+00 6.950000e+00
2.160345e+01 7.290825e-01 -1.925000e+00 5.000000e-02
7.673924e+00 4.358502e-01 -1.925000e+00 1.500000e-01
1.937064e+00 2.233971e-01 -1.925000e+00 2.500000e-01
1.314634e+00 1.805793e-01 -1.925000e+00 3.500000e-01
8.336740e-01 1.429742e-01 -1.925000e+00 4.500000e-01
4.468684e-01 1.053280e-01 -1.925000e+00 5.500000e-01
2.524594e-01 9.446199e-02 -1.925000e+00 6.500000e-01
4.986625e-01 1.144013e-01 -1.925000e+00 7.500000e-01
4.563677e-01 1.230909e-01 -1.925000e+00 8.500000e-01
4.760628e-01 1.154625e-01 -1.925000e+00 9.500000e-01
2.902697e-01 1.006227e-01 -1.925000e+00 1.050000e+00
2.642741e-01 9.734348e-02 -1.925000e+00 1.150000e+00
1.796605e-01 9.468602e-02 -1.925000e+00 1.250000e+00
1.184404e-01 7.248423e-02 -1.925000e+00 1.350000e+00
1.999178e-01 7.556198e-02 -1.925000e+00 1.450000e+00
2.191513e-01 9.495950e-02 -1.925000e+00 1.550000e+00
7.977273e-02 5.941156e-02 -1.925000e+00 1.650000e+00
2.062480e-01 8.153163e-02 -1.925000e+00 1.750000e+00
9.812155e-02 6.015283e-02 -1.925000e+00 1.850000e+00
1.933114e-01 7.643502e-02 -1.925000e+00 1.950000e+00
1.934764e-01 6.840452e-02 -1.925000e+00 2.050000e+00
1.683803e-01 6.364205e-02 -1.925000e+00 2.150000e+00
1.210329e-01 6.404145e-02 -1.925000e+00 2.250000e+00
2.394528e-02 6.334003e-02 -1.925000e+00 2.350000e+00
7.122442e-02 4.112157e-02 -1.925000e+00 2.450000e+00
2.484979e-02 4.319571e-02 -1.925000e+00 2.550000e+00
1.060063e-01 5.300337e-02 -1.925000e+00 2.650000e+00
5.563959e-02 3.934317e-02 -1.925000e+00 2.750000e+00
3.022680e-02 5.294793e-02 -1.925000e+00 2.850000e+00
3.411480e-02 3.411480e-02 -1.925000e+00 2.950000e+00
7.442421e-02 5.262586e-02 -1.925000e+00 3.050000e+00
2.981492e-01 1.126900e-01 -1.925000e+00 3.150000e+00
9.986983e-02 7.061902e-02 -1.925000e+00 3.250000e+00
1.779290e-01 1.027277e-01 -1.925000e+00 3.350000e+00
1.448049e-01 1.023926e-01 -1.925000e+00 3.450000e+00
0.000000e+00 0.000000e+00 -1.925000e+00 3.550000e+00
1.201867e-01 1.201867e-01 -1.925000e+00 3.650000e+00
0.000000e+00 0.000000e+00 -1.925000e+00 3.750000e+00
0.000000e+00 0.000000e+00 -1.925000e+00 3.850000e+00
0.000000e+00 0.000000e+00 -1.925000e+00 3.950000e+00
nan nan -1.925000e+00 4.050000e+00
nan nan -1.925000e+00 4.150000e+00
nan nan -1.925000e+00 4.250000e+00
nan nan -1.925000e+00 4.350000e+00
nan nan -1.925000e+00 4.450000e+00
nan nan -1.925000e+00 4.550000e+00
nan nan -1.925000e+00 4.650000e+00
