# Intensity Error [0.5H,0,0] DeltaE
#  shape: 34x70
0.000000e+00 0.000000e+00 4.500000e-02 3.050000e+00
2.489844e-02 2.489844e-02 4.500000e-02 3.150000e+00
-1.127363e-01 1.127362e-01 4.500000e-02 3.250000e+00
1.675300e-01 8.376507e-02 4.500000e-02 3.350000e+00
3.069224e-02 5.332502e-02 4.500000e-02 3.450000e+00
-5.120608e-04 3.629330e-01 4.500000e-02 3.550000e+00
2.465242e-02 4.293736e-02 4.500000e-02 3.650000e+00
1.666679e-01 1.178520e-01 4.500000e-02 3.750000e+00
4.243247e-02 1.104260e-01 4.500000e-02 3.850000e+00
3.341604e-02 8.906518e-02 4.500000e-02 3.950000e+00
8.046336e-02 8.046336e-02 4.500000e-02 4.050000e+00
9.134902e-02 6.793020e-02 4.500000e-02 4.150000e+00
5.856352e-02 1.024895e-01 4.500000e-02 4.250000e+00
7.724937e-02 9.471982e-02 4.500000e-02 4.350000e+00
3.870384e-02 6.756013e-02 4.500000e-02 4.450000e+00
9.893557e-02 9.981175e-02 4.500000e-02 4.550000e+00
6.544266e-02 9.291219e-02 4.500000e-02 4.650000e+00
1.029555e-01 1.037912e-01 4.500000e-02 4.750000e+00
3.334079e-02 7.451456e-02 4.500000e-02 4.850000e+00
-4.415080e-04 9.350397e-02 4.500000e-02 4.950000e+00
7.099425e-02 8.669396e-02 4.500000e-02 5.050000e+00
4.019711e-02 1.085019e-01 4.500000e-02 5.150000e+00
-1.170059e-03 1.253635e-01 4.500000e-02 5.250000e+00
7.682901e-02 7.645137e-02 4.500000e-02 5.350000e+00
-6.928907e-02 9.778388e-02 4.500000e-02 5.450000e+00
1.459419e-01 8.931787e-02 4.500000e-02 5.550000e+00
-9.883071e-04 1.234717e-01 4.500000e-02 5.650000e+00
1.771457e-01 1.271572e-01 4.500000e-02 5.750000e+00
3.069565e-02 1.024627e-01 4.500000e-02 5.850000e+00
-1.001373e-01 1.550093e-01 4.500000e-02 5.950000e+00
1.558251e-01 1.574171e-01 4.500000e-02 6.050000e+00
-4.646755e-02 2.098373e-01 4.500000e-02 6.150000e+00
-4.095941e-01 2.354073e-01 4.500000e-02 6.250000e+00
3.425730e-01 4.161670e-01 4.500000e-02 6.350000e+00
3.122236e-01 3.122236e-01 4.500000e-02 6.450000e+00
nan nan 4.500000e-02 6.550000e+00
nan nan 4.500000e-02 6.650000e+00
nan nan 4.500000e-02 6.750000e+00
nan nan 4.500000e-02 6.850000e+00
nan nan 4.500000e-02 6.950000e+00
2.200908e+01 1.007728e+00 7.500000e-02 5.000000e-02
4.922005e+00 4.996839e-01 7.500000e-02 1.500000e-01
7.377043e-01 1.904747e-01 7.500000e-02 2.500000e-01
5.359778e-01 1.616037e-01 7.500000e-02 3.500000e-01
2.931050e-01 1.196598e-01 7.500000e-02 4.500000e-01
9.398352e-02 6.645639e-02 7.500000e-02 5.500000e-01
2.629804e-01 1.176088e-01 7.500000e-02 6.500000e-01
1.912988e-01 9.564982e-02 7.500000e-02 7.500000e-01
2.202482e-01 1.166465e-01 7.500000e-02 8.500000e-01
2.229373e-01 1.114689e-01 7.500000e-02 9.500000e-01
-4.825261e-02 4.825261e-02 7.500000e-02 1.050000e+00
1.235614e-01 7.133823e-02 7.500000e-02 1.150000e+00
5.793961e-02 5.793962e-02 7.500000e-02 1.250000e+00
1.000679e-01 1.002910e-01 7.500000e-02 1.350000e+00
3.973775e-02 3.973776e-02 7.500000e-02 1.450000e+00
5.775208e-02 5.775208e-02 7.500000e-02 1.550000e+00
0.000000e+00 0.000000e+00 7.500000e-02 1.650000e+00
0.000000e+00 0.000000e+00 7.500000e-02 1.750000e+00
1.675521e-01 1.249581e-01 7.500000e-02 1.850000e+00
0.000000e+00 0.000000e+00 7.500000e-02 1.950000e+00
0.000000e+00 0.000000e+00 7.500000e-02 2.050000e+00
5.072650e-02 8.814692e-02 7.500000e-02 2.150000e+00
4.398897e-02 4.398897e-02 7.500000e-02 2.250000e+00
0.000000e+00 0.000000e+00 7.500000e-02 2.350000e+00
0.000000e+00 0.000000e+00 7.500000e-02 2.450000e+00
4.766240e-02 4.766240e-02 7.500000e-02 2.550000e+00
6.434652e-02 6.434653e-02 7.500000e-02 2.650000e+00
9.582996e-02 5.532751e-02 7.500000e-02 2.750000e+00
-7.290567e-02 7.290568e-02 7.500000e-02 2.850000e+00
4.754250e-02 4.754249e-02 7.500000e-02 2.950000e+00
-3.037583e-02 5.258244e-02 7.500000e-02 3.050000e+00
0.000000e+00 0.000000e+00 7.500000e-02 3.150000e+00
1.142217e-01 5.711099e-02 7.500000e-02 3.250000e+00
2.039927e-01 1.019966e-01 7.500000e-02 3.350000e+00
3.286768e-01 1.643385e-01 7.500000e-02 3.450000e+00
2.420522e-02 4.197290e-02 7.500000e-02 3.550000e+00
-2.929565e-01 2.929565e-01 7.500000e-02 3.650000e+00
1.955175e-04 7.200928e-02 7.500000e-02 3.750000e+00
5.000120e-02 8.648162e-02 7.500000e-02 3.850000e+00
1.811129e-01 1.354170e-01 7.500000e-02 3.950000e+00
8.497395e-02 8.484611e-02 7.500000e-02 4.050000e+00
