# Intensity Error [-0.333H,0.167H,0] DeltaE
#  shape: 20x70
3.808529e+01 1.282401e+00 2.500000e-02 5.000000e-02
8.691253e+00 6.130346e-01 2.500000e-02 1.500000e-01
1.637480e+00 2.692008e-01 2.500000e-02 2.500000e-01
8.130087e-01 1.865173e-01 2.500000e-02 3.500000e-01
7.121784e-01 1.780449e-01 2.500000e-02 4.500000e-01
3.432277e-01 1.357506e-01 2.500000e-02 5.500000e-01
1.753476e-01 8.767382e-02 2.500000e-02 6.500000e-01
4.338968e-02 7.547959e-02 2.500000e-02 7.500000e-01
8.462487e-02 5.983893e-02 2.500000e-02 8.500000e-01
9.217641e-02 6.517864e-02 2.500000e-02 9.500000e-01
1.191406e-01 6.878586e-02 2.500000e-02 1.050000e+00
1.390936e-01 8.030572e-02 2.500000e-02 1.150000e+00
3.909554e-02 3.909554e-02 2.500000e-02 1.250000e+00
0.000000e+00 0.000000e+00 2.500000e-02 1.350000e+00
7.919160e-02 5.599700e-02 2.500000e-02 1.450000e+00
1.728181e-01 1.057580e-01 2.500000e-02 1.550000e+00
1.214139e-01 7.009851e-02 2.500000e-02 1.650000e+00
1.664765e-01 8.323848e-02 2.500000e-02 1.750000e+00
8.176173e-02 5.781428e-02 2.500000e-02 1.850000e+00
2.026946e-01 1.072990e-01 2.500000e-02 1.950000e+00
8.190147e-02 5.791324e-02 2.500000e-02 2.050000e+00
1.170299e-01 8.730847e-02 2.500000e-02 2.150000e+00
1.634640e-01 8.173206e-02 2.500000e-02 2.250000e+00
3.819874e-01 1.207957e-01 2.500000e-02 2.350000e+00
4.740108e-01 1.368356e-01 2.500000e-02 2.450000e+00
1.035265e+00 1.992375e-01 2.500000e-02 2.550000e+00
6.942683e-01 1.636411e-01 2.500000e-02 2.650000e+00
5.060084e-01 1.403423e-01 2.500000e-02 2.750000e+00
3.427653e-01 1.264456e-01 2.500000e-02 2.850000e+00
5.028660e-01 1.394706e-01 2.500000e-02 2.950000e+00
1.488548e-01 1.052608e-01 2.500000e-02 3.050000e+00
2.177625e-01 1.027482e-01 2.500000e-02 3.150000e+00
5.069085e-01 1.354776e-01 2.500000e-02 3.250000e+00
9.749636e-01 1.842521e-01 2.500000e-02 3.350000e+00
4.078699e-01 1.358913e-01 2.500000e-02 3.450000e+00
3.046857e-01 1.123504e-01 2.500000e-02 3.550000e+00
1.902884e-01 7.768516e-02 2.500000e-02 3.650000e+00
3.068658e-02 6.844103e-02 2.500000e-02 3.750000e+00
4.028846e-01 1.151751e-01 2.500000e-02 3.850000e+00
1.378683e-01 8.277358e-02 2.500000e-02 3.950000e+00
3.000335e-01 9.363963e-02 2.500000e-02 4.050000e+00
3.556930e-01 8.892380e-02 2.500000e-02 4.150000e+00
1.783916e-01 7.668156e-02 2.500000e-02 4.250000e+00
1.877616e-01 9.105786e-02 2.500000e-02 4.350000e+00
4.222329e-05 8.730200e-02 2.500000e-02 4.450000e+00
2.159408e-01 7.634813e-02 2.500000e-02 4.550000e+00
1.001585e-01 1.190835e-01 2.500000e-02 4.650000e+00
2.105663e-01 1.258884e-01 2.500000e-02 4.750000e+00
3.385932e-01 1.788484e-01 2.500000e-02 4.850000e+00
-2.633025e-01 2.633025e-01 2.500000e-02 4.950000e+00
nan nan 2.500000e-02 5.050000e+00
nan nan 2.500000e-02 5.150000e+00
nan nan 2.500000e-02 5.250000e+00
nan nan 2.500000e-02 5.350000e+00
nan nan 2.500000e-02 5.450000e+00
nan nan 2.500000e-02 5.550000e+00
nan nan 2.500000e-02 5.650000e+00
nan nan 2.500000e-02 5.750000e+00
nan nan 2.500000e-02 5.850000e+00
nan nan 2.500000e-02 5.950000e+00
nan nan 2.500000e-02 6.050000e+00
nan nan 2.500000e-02 6.150000e+00
nan nan 2.500000e-02 6.250000e+00
nan nan 2.500000e-02 6.350000e+00
nan nan 2.500000e-02 6.450000e+00
nan nan 2.500000e-02 6.550000e+00
nan nan 2.500000e-02 6.650000e+00
nan nan 2.500000e-02 6.750000e+00
nan nan 2.500000e-02 6.850000e+00
nan nan 2.500000e-02 6.950000e+00
3.753402e+01 1.301252e+00 7.500000e-02 5.000000e-02
8.733969e+00 6.070149e-01 7.500000e-02 1.500000e-01
9.764353e-01 2.130759e-01 7.500000e-02 2.500000e-01
6.200354e-01 1.600928e-01 7.500000e-02 3.500000e-01
2.840943e-01 1.338160e-01 7.500000e-02 4.500000e-01
5.270486e-01 1.461772e-01 7.500000e-02 5.500000e-01
9.311623e-02 9.346520e-02 7.500000e-02 6.500000e-01
8.095396e-02 8.114147e-02 7.500000e-02 7.500000e-01
9.231585e-02 6.527731e-02 7.500000e-02 8.500000e-01
4.084977e-02 7.109940e-02 7.500000e-02 9.500000e-01
4.567957e-05 6.328838e-02 7.500000e-02 1.050000e+00
8.582250e-02 6.068577e-02 7.500000e-02 1.150000e+00
0.000000e+00 0.000000e+00 7.500000e-02 1.250000e+00
1.753662e-01 8.768335e-02 7.500000e-02 1.350000e+00
4.047388e-02 4.047388e-02 7.500000e-02 1.450000e+00
8.682685e-02 6.139610e-02 7.500000e-02 1.550000e+00
-4.016736e-02 6.934338e-02 7.500000e-02 1.650000e+00
2.986624e-01 1.128842e-01 7.500000e-02 1.750000e+00
1.193775e-01 6.892268e-02 7.500000e-02 1.850000e+00
